"No","Divisions","Name","BengaliName","Latitude","Longitude"
"1","Chattagram","Cumilla","কুমিল্লা","23.4682747","91.1788135"
"2","Chattagram","Feni","ফেনী","23.023231","91.3840844"
"3","Chattagram","B. Baria","ব্রাহ্মণবাড়িয়া","23.9570904","91.1119286"
"4","Chattagram","Rangamati","রাঙ্গামাটি","22.7324","92.2985"
"5","Chattagram","Noakhali","নোয়াখালী","22.869563","91.099398"
"6","Chattagram","Chandpur","চাঁদপুর","23.2332585","90.6712912"
"7","Chattagram","Laksmipur","লক্ষ্মীপুর","22.942477","90.841184"
"8","Chattagram","Chattogram","চট্টগ্রাম","22.335109","91.834073"
"9","Chattagram","Cox’s bazar","কক্সবাজার","21.4272","92.0058"
"10","Chattagram","Khagrachhari","খাগড়াছড়ি","23.119285","91.984663"
"11","Chattagram","Bandarban","বান্দরবান","22.1953275","92.2183773"
"12","Rajshahi","Sirajganj","সিরাজগঞ্জ","24.4533978","89.7006815"
"13","Rajshahi","Pabna","পাবনা","23.998524","89.233645"
"14","Rajshahi","Bogra","বগুড়া","24.8465228","89.377755"
"15","Rajshahi","Rajshahi","রাজশাহী","24.3745","88.6042"
"16","Rajshahi","Natore","নাটোর","24.420556","89.000282"
"17","Rajshahi","Joypurhat","জয়পুরহাট","25.0947","89.0945"
"18","Rajshahi","Chapainawabganj","চাঁপাইনবাবগঞ্জ","24.5965034","88.2775122"
"19","Rajshahi","Naogaon","নওগাঁ","24.7936","88.9318"
"20","Khulna","Jessore","যশোর","23.16643","89.2081126"
"21","Khulna","Satkhira","সাতক্ষীরা","22.3155","89.1115"
"22","Khulna","Meherpur","মেহেরপুর","23.762213","88.631821"
"23","Khulna","Narail","নড়াইল","23.172534","89.512672"
"24","Khulna","Chuadanga","চুয়াডাঙ্গা","23.6401961","88.841841"
"25","Khulna","Kushtia","কুষ্টিয়া","23.901258","89.120482"
"26","Khulna","Magura","মাগুরা","23.487337","89.419956"
"27","Khulna","Khulna","খুলনা","22.815774","89.568679"
"28","Khulna","Bagerhat","বাগেরহাট","22.651568","89.785938"
"29","Khulna","Jhenaidah","ঝিনাইদহ","23.5448176","89.1539213"
"30","Barisal","Jhalokathi","ঝালকাঠি","22.3155","89.1115"
"31","Barisal","Potuakhali","পটুয়াখালী","22.3596316","90.3298712"
"32","Barisal","Pirojpur","পিরোজপুর","22.5791","89.9759"
"33","Barisal","Barishal","বরিশাল","22.7010","90.3535"
"34","Barisal","Bhola","ভোলা","22.685923","90.648179"
"35","Barisal","Barguna","বরগুনা","22.0953","90.1121"
"36","Sylhet","Sylhet","সিলেট","24.8897956","91.8697894"
"37","Sylhet","Moulovi Bazar","মৌলভীবাজার","24.482934","91.777417"
"38","Sylhet","Hobiganj","হবিগঞ্জ","24.374945","91.41553"
"39","Sylhet","Sunamganj","সুনামগঞ্জ","25.0658042","91.3950115"
"40","Dhaka","Narshingdi","নরসিংদী","23.932233","90.71541"
"41","Dhaka","Gazipur","গাজীপুর","24.0022858","90.4264283"
"42","Dhaka","Shariatpur","শরীয়তপুর","23.2423","90.4348"
"43","Dhaka","Narayanganj","নারায়ণগঞ্জ","23.63366","90.496482"
"44","Dhaka","Tangail","টাঙ্গাইল","24.3917","89.9948"
"45","Dhaka","Kishoreganj","কিশোরগঞ্জ","24.444937","90.776575"
"46","Dhaka","Manikganj","মানিকগঞ্জ","23.8617","90.0003"
"47","Dhaka","Dhaka City","ঢাকা","23.7115253","90.4111451"
"47","Dhaka","Dhaka (District)","ঢাকা","23.7115253","90.4111451"
"48","Dhaka","Munshigonj","মুন্সিগঞ্জ","23.4981","90.4127"
"49","Dhaka","Rajbari","রাজবাড়ী","23.7574305","89.6444665"
"50","Dhaka","Madaripur","মাদারীপুর","23.164102","90.1896805"
"51","Dhaka","Gopalganj","গোপালগঞ্জ","23.0050857","89.8266059"
"52","Dhaka","Faridpur","ফরিদপুর","23.6070822","89.8429406"
"53","Rangpur","Panchagar","পঞ্চগড়","26.3411","88.5541606"
"54","Rangpur","Dinajpur","দিনাজপুর","25.6217061","88.6354504"
"55","Rangpur","Lalmonirhat","লালমনিরহাট","25.9923","89.2847"
"56","Rangpur","Nilphamari","নীলফামারী","25.931794","88.856006"
"57","Rangpur","Gaibandha","গাইবান্ধা","25.328751","89.528088"
"58","Rangpur","Thakurgaon","ঠাকুরগাঁও","26.0336945","88.4616834"
"59","Rangpur","Rangpur","রংপুর","25.7558096","89.244462"
"60","Rangpur","Kurigram","কুড়িগ্রাম","25.805445","89.636174"
"61","Mymensingh","Sherpur","শেরপুর","25.0204933","90.0152966"
"62","Mymensingh","Mymensingh","ময়মনসিংহ","24.7471","90.4203"
"63","Mymensingh","Jamalpur","জামালপুর","24.937533","89.937775"
"64","Mymensingh","Netrokona","নেত্রকোণা","24.870955","90.727887"
